common_name,variety,farmos_name,botanical_name,crop_family,origin,description,lifespan_years,lifecycle_years,maturity_days,strata,succession_stage,plant_functions,harvest_days,germination_time,transplant_days,source
Onion,Red,Onion (Red),Allium cepa,Amaryllidaceae,Central Asia,Red Italian onion variety. Mild sweet flavor good for salads. Long day type - plant in autumn for spring harvest in subtropics.,2,0.5,0.5,low,secondary,edible_root,,3 to 4 weeks,21-42,Greenpatch Organic Seeds
Orach,,Orach,Atriplex hortensis,Amaranthaceae,Europe/Asia,"Mountain spinach or French spinach. Heat-tolerant alternative to spinach. Colorful leaves (green, red, gold). Self-seeds readily.",1,0.5,0.5,low,secondary,edible_greens,35-45,5-10 days,14-21,Greenpatch Organic Seeds
Orange,,Orange,Citrus sinensis,Rutaceae,Southeast Asia,Evergreen citrus tree producing sweet fruit. Grows 5-10m in ideal conditions. Well-suited to subtropical NSW climate. In syntropic systems serves as high-strata productive tree in secondary succession. Benefits from wind protection and consistent moisture.,50+,10+,1,high,secondary,"edible_fruit,canopy_cover",240-365,14-28 days,60-90,Supermarket SEEDS/STONES
Oregano,,Oregano,Origanum vulgare,Lamiaceae,Mediterranean,Perennial Mediterranean herb with aromatic leaves. Essential for Italian and Greek cooking. Attracts beneficial insects.,5-10,3-10,5,medium,secondary,"aromatic,medicinal,edible_greens",,,,Mr Fothergill's
Pak Choi,,Pak Choi,Brassica rapa var. chinensis,Brassicaceae,China,Asian leafy green with mild flavor. Fast growing - ready in 6-7 weeks. Bolt resistant varieties available for warm weather.,1,0.5,0.5,medium,secondary,edible_greens,45-60,,21-42,FFC
Papaya,,Papaya,Carica papaya,Caricaceae,Central America,Fast-growing tropical fruit tree producing within first year. Pioneer species providing quick shade and continuous fruit. Short-lived but very productive.,4-8,10-20,20,high,pioneer,"edible_fruit,biomass_producer",,2 to 3 weeks,,Supermarket SEEDS/STONES
Parsley,Italian,Parsley (Italian),Petroselinum crispum,Apiaceae,Mediterranean,Flat-leaf Italian parsley with stronger flavor than curled types. Preferred for cooking. Biennial - harvest first year before flowering.,2,1-3,2,low,secondary,"aromatic,edible_greens",,,,Country Value
Parsley,Moss Curled,Parsley (Moss Curled),Petroselinum crispum,Apiaceae,Mediterranean,"Heirloom curly parsley variety pre-1865. Deeply cut tightly curled dark green leaves. Dense dwarf compact growth 25-45cm. Milder flavor than flat-leaf. Rich in vitamins A, B, C, K and minerals. Hardy to frost.",2,1-3,2,low,secondary,"aromatic,edible_greens",60-90,21-56 days,28-56,Mr Fothergill's
Parsnip,Hollow Grown,Parsnip (Hollow Grown),Pastinaca sativa,Apiaceae,Eurasia,Root vegetable with sweet nutty flavor after frost. Slow to germinate - use fresh seed. Sow direct in deep loose soil. Long growing season crop.,2,1-3,1,low,secondary,edible_root,100-130,14-28 days,,Mr Fothergill's
Passionfruit,,Passionfruit,Passiflora edulis,Passifloraceae,South America (Brazil),Vigorous fruiting vine with golden fruit. Self-fertile variety producing abundant sweet-tart fruit. Needs support structure and good drainage.,5-7,3-10,5,high,secondary,edible_fruit,,2 to 8 weeks,,Supermarket SEEDS/STONES
Passionfruit,Panama Gold,Passionfruit (Panama Gold),Passiflora edulis,Passifloraceae,South America (Brazil),Vigorous fruiting vine with golden fruit. Self-fertile variety producing abundant sweet-tart fruit. Needs support structure and good drainage.,5-7,3-10,5,high,secondary,edible_fruit,,2 to 8 weeks,,EDEN SEEDS
Pea,,Pea,Pisum sativum,Fabaceae,Mediterranean/Middle East,"Cool season legume with edible pods. Yakumo is flat snow pea, Sugar Snap has plump sweet pods. Nitrogen-fixing. Needs support for climbing.",1,0.5,0.5,low,secondary,"edible_seed,nitrogen_fixer",60-70,7-14 days,,Greenpatch Organic Seeds
Pea-Snow,Snow,Pea-Snow,Pisum sativum,Fabaceae,Mediterranean/Middle East,"Cool season legume with edible pods. Yakumo is flat snow pea, Sugar Snap has plump sweet pods. Nitrogen-fixing. Needs support for climbing.",1,0.5,0.5,low,secondary,"edible_seed,nitrogen_fixer",60-70,7-14 days,,Greenpatch Organic Seeds
Pea-Snow,Yakumo,Pea-Snow (Yakumo),Pisum sativum var. saccharatum,Fabaceae,Mediterranean/Middle East,Flat edible-podded pea variety. Pick young before peas swell. Yakumo is productive heirloom. Cool season - plant autumn or late winter.,1,0.5,0.5,low,secondary,"edible_seed,nitrogen_fixer",60-70,7-14 days,,Greenpatch Organic Seeds
Pea-Sugar Snap,Sugar snap,Pea-Sugar Snap,Pisum sativum,Fabaceae,Mediterranean/Middle East,"Cool season legume with edible pods. Yakumo is flat snow pea, Sugar Snap has plump sweet pods. Nitrogen-fixing. Needs support for climbing.",1,0.5,0.5,low,secondary,"edible_seed,nitrogen_fixer",60-70,7-14 days,,Greenpatch Organic Seeds
Peach,,Peach,Prunus persica,Rosaceae,Northwest China,"Deciduous stone fruit tree, 4-8m tall. Low-chill varieties like Okinawa and Aztec Gold suited to subtropical regions. Fruits in summer. In syntropic systems serves as medium-to-high strata productive tree providing seasonal canopy. Benefits from good drainage and full sun.",15-25,3-10,1,high,secondary,"edible_fruit,canopy_cover,deciduous_light",120-180,30-120 days,365,Daleys Fruit Nursery
Peanut,,Peanut,Arachis hypogaea,Fabaceae,South America (Bolivia/Brazil),Low-growing annual legume producing edible underground pods. Nitrogen-fixing roots enrich soil. Needs warm growing season of 4-5 months. Prefers light sandy loam soil with good drainage. Valuable in crop rotations for soil improvement.,1,0.5,0.5,low,secondary,"edible_seed,nitrogen_fixer,green_manure",120-150,7-14 days,,Greenpatch Organic Seeds
Pear,,Pear,Pyrus communis,Rosaceae,Europe,Classic European pear variety also known as Bartlett. Sweet aromatic fruit excellent fresh or canned. Needs cross-pollination. Beautiful white spring blossoms.,50-100,10-20,20,high,secondary,edible_fruit,,,,FFC (farm saved)
Pear,Flordahome,Pear (Flordahome),Pyrus communis x Pyrus pyrifolia,Rosaceae,USA (Florida),Low-chill (150-200 hours) heat-tolerant pear hybrid developed by University of Florida. Semi-self-fertile but better with cross-pollination. Smooth yellow-green skin with crisp juicy flesh. Ripens late July to early August. Grows 5-6m tall. Excellent for subtropical climates where traditional European pears struggle.,50-100,10-20,20,high,secondary,edible_fruit,,,,Daleys Fruit Nursery
Pear,Nashi,Pear (Nashi),Pyrus pyrifolia,Rosaceae,East Asia,Asian pear producing round apple-shaped fruits with crisp juicy flesh and high water content. Also known as Japanese pear or sand pear. Grows 7-15m tall. Needs cross-pollination. Deciduous with attractive autumn colour. Suited to subtropical and temperate climates.,50-100,10-20,20,high,secondary,edible_fruit,,,,Daleys Fruit Nursery
Pear,Williams,Pear (Williams),Pyrus communis,Rosaceae,Europe,Classic European pear variety also known as Bartlett. Sweet aromatic fruit excellent fresh or canned. Needs cross-pollination. Beautiful white spring blossoms.,50-100,10-20,20,high,secondary,edible_fruit,,,,FFC (farm saved)
Pepino plant,,Pepino plant,Solanum muricatum,Solanaceae,South America (Andes - Colombia/Peru/Chile),"Evergreen shrub to 1m producing sweet melon-like fruit with purple-striped skin. Related to tomato and potato. Fast growing, fruits within 4-6 months. Frost sensitive but tolerates light frost. Propagated easily by cuttings. Parthenocarpic - sets fruit without pollination.",3-5,2-3,1,medium,secondary,edible_fruit,120-240,,,Greenpatch Organic Seeds
Phacelia,,Phacelia,Phacelia tanacetifolia,Boraginaceae,North America (California),Blue-flowered annual cover crop. One of the best bee plants available. Excellent green manure. Fast-growing soil builder.,1,0.5,0.5,low,pioneer,"green_manure,beneficial_insects,nectar_source,biomass_producer",,7-14 days,,Greenpatch Organic Seeds
Pigeon Pea,,Pigeon Pea,Cajanus cajan,Fabaceae,South Asia (India),Fast-growing nitrogen-fixing shrub to 4m. Edible protein-rich peas and excellent biomass for chop-and-drop. Drought tolerant pioneer.,3-5,3-10,4,high,pioneer,"nitrogen_fixer,edible_seed,biomass_producer",,,,FFC
Plum,,Plum,Prunus domestica,Rosaceae,Europe/Western Asia,Deciduous stone fruit tree. Many varieties available for different climates. Some need chill hours for fruit set. Beautiful spring blossoms. Prune after fruiting.,20-40,10-20,15,medium,secondary,edible_fruit,,,,Various
Plum - Pluot,Black Adder,Plum - Pluot (Black Adder),Prunus salicina x Prunus armeniaca,Rosaceae,USA (California),Interspecific plum-apricot hybrid (75% plum 25% apricot). Dark-skinned fruit with exceptionally sweet complex flavour. Higher sugar content than standard plums. Deciduous stone fruit tree. Needs cross-pollination with compatible plum or pluot variety.,20-40,10-20,15,medium,secondary,edible_fruit,,,,Daleys Fruit Nursery (bought plant)
Prickly Pear,,Prickly Pear,Opuntia ficus-indica,Cactaceae,Americas,Drought-tolerant cactus with edible pads (nopales) and sweet fruits (tunas). Extremely hardy. Can spread aggressively - manage carefully. Used as living fence and animal fodder.,50+,20+,,medium,climax,"edible_fruit,erosion_control,fodder",,,,FFC (cutting)
Prickly-leaved Paperbark,,Prickly-leaved Paperbark,Melaleuca styphelioides,Myrtaceae,Native to NSW,Paperbark tree to 15m with distinctive prickly leaves and white bottlebrush flowers. Spongy white bark. Excellent shade tree. Tolerates frost and poor drainage.,50-100,20+,20,high,secondary,"nectar_source,native_habitat,erosion_control,timber",,,,Native nursery
Pumpkin,,Pumpkin,Cucurbita maxima,Cucurbitaceae,South America,Classic Australian grey pumpkin with dense orange flesh. Excellent keeper - stores for months. Sweet nutty flavor.,1,0.5,0.5,low,secondary,edible_fruit,100-120,,21-42,Various
Pumpkin,Golden Nugget,Pumpkin (Golden Nugget),Cucurbita maxima,Cucurbitaceae,South America,Classic Australian grey pumpkin with dense orange flesh. Excellent keeper - stores for months. Sweet nutty flavor.,1,0.5,0.5,low,secondary,edible_fruit,100-120,,21-42,Greenpatch Organic Seeds
Pumpkin,Queensland Blue,Pumpkin (Queensland Blue),Cucurbita maxima,Cucurbitaceae,South America,Classic Australian grey pumpkin with dense orange flesh. Excellent keeper - stores for months. Sweet nutty flavor.,1,0.5,0.5,low,secondary,edible_fruit,100-120,,21-42,Mr Fothergill's
Pyrethrum,,Pyrethrum,Tanacetum cinerariifolium,Asteraceae,Balkans/Caucasus,Natural insecticide plant. White daisy-like flowers contain pyrethrins. Companion plant for pest management.,3-5,3-10,3,low,secondary,"pest_management,ornamental",,,,Mr Fothergill's
Quince,,Quince,Cydonia oblonga,Rosaceae,Western Asia (Caucasus),"Deciduous fruit tree related to apples and pears. Fragrant golden fruit used for preserves, paste and cooking. Beautiful pink-white blossoms.",50-70,20+,25,high,secondary,edible_fruit,,,,FFC (farm saved)
Radish,,Radish,Raphanus sativus,Brassicaceae,Southeast Asia,Fast-growing root vegetable ready in 3-4 weeks. Sow direct in successions. Good for breaking compacted soil. Daikon types excellent for deep soil breaking.,1,0.5,0.5,low,secondary,"edible_root,soil_breaking",25-35,3-7 days,,Various
Radish,Tillage,Radish (Tillage),Raphanus sativus,Brassicaceae,Southeast Asia,Fast-growing root vegetable ready in 3-4 weeks. Sow direct in successions. Good for breaking compacted soil. Daikon types excellent for deep soil breaking.,1,0.5,0.5,low,secondary,"edible_root,soil_breaking",25-35,3-7 days,,Greenpatch Organic Seeds
Radish,red - Sparkler,Radish (red - Sparkler),Raphanus sativus,Brassicaceae,Southeast Asia,Fast-growing root vegetable ready in 3-4 weeks. Sow direct in successions. Good for breaking compacted soil. Daikon types excellent for deep soil breaking.,1,0.5,0.5,low,secondary,"edible_root,soil_breaking",25-35,3-7 days,,Mr Fothergill's
Radish,red - scarlett globe,Radish (red - scarlett globe),Raphanus sativus,Brassicaceae,Southeast Asia,Fast-growing root vegetable ready in 3-4 weeks. Sow direct in successions. Good for breaking compacted soil. Daikon types excellent for deep soil breaking.,1,0.5,0.5,low,secondary,"edible_root,soil_breaking",25-35,3-7 days,,Mr Fothergill's
Raspberry,,Raspberry,Rubus idaeus,Rosaceae,Europe/North Asia,Perennial berry bramble producing red (or gold/black) fruit. Canes need support. Summer and autumn fruiting varieties available. Fruits on different aged canes depending on type.,15-25,10-20,8,low,secondary,edible_fruit,,,,FFC (farm saved)
Rocket,,Rocket,Eruca vesicaria,Brassicaceae,Mediterranean,Peppery salad green also called arugula. Fast growing cool season crop. Bolts quickly in heat. Edible flowers. Wild rocket is perennial alternative.,1,0.5,0.5,low,secondary,edible_greens,30-40,5-7 days,,Greenpatch Organic Seeds
Rose Apple,,Rose Apple,Syzygium jambos,Myrtaceae,Southeast Asia,Tropical evergreen tree to 12m with rose-scented pear-shaped fruit. Beautiful cream pom-pom flowers. Fruits have rose water fragrance. Tolerates light frost once established.,50-100,20+,20,high,secondary,"edible_fruit,aromatic",,,,Daleys Fruit Nursery
Rosemary,,Rosemary,Salvia rosmarinus,Lamiaceae,Mediterranean,Aromatic Mediterranean shrub with needle-like leaves. Drought tolerant once established. Blue flowers attract bees.,10-20,3-10,5,medium,secondary,"aromatic,medicinal,edible_greens,beneficial_insects",,,,FFC (farm saved)
Rough Barked Apple,,Rough Barked Apple,Angophora floribunda,Myrtaceae,Native to NSW,Australian native tree to 25m with distinctive rough bark. Prolific white flowers attract bees and wildlife. Excellent nectar source for honey production. Drought and frost tolerant once established.,100-200,20+,30,emergent,secondary,"nectar_source,native_habitat,timber,erosion_control",,,,Koala Day Tinonee 5 2025 (given plant)
Sage,,Sage,Salvia officinalis,Lamiaceae,Mediterranean,Culinary and medicinal herb with grey-green velvety leaves. Drought tolerant. Blue-purple flowers attract pollinators.,5-10,3-10,5,medium,secondary,"aromatic,medicinal,edible_greens",,,,Mr Fothergill's
Sage,Pineapple,Sage (Pineapple),Salvia elegans,Lamiaceae,Mexico / Guatemala,"Perennial herb, 1-1.5m tall, with pineapple-scented leaves and bright red tubular flowers. Attracts hummingbirds and beneficial insects. In syntropic systems works as medium-strata aromatic companion plant. Frost-sensitive but vigorous grower in subtropical conditions. Edible leaves and flowers.",3-5,1-3,1,medium,secondary,"edible_leaf,aromatic,beneficial_insects,companion_plant",60-90,10-21 days,42-56,Greenpatch Organic Seeds
Shallot,Evergreen Bunching,Shallot,Allium fistulosum,Amaryllidaceae,East Asia,Bunching onion with mild flavor. Perennial in mild climates. Also called Welsh onion or scallion. Harvest whole or cut leaves repeatedly.,3-5,3-10,3,low,secondary,"edible_greens,aromatic",60-80,7-14 days,21-35,Greenpatch Organic Seeds
Silver Dollar Gum,,Silver Dollar Gum,Eucalyptus cinerea,Myrtaceae,Native to NSW,Ornamental native with distinctive silver-blue round juvenile leaves. Popular for cut foliage. Frost tolerant.,50-150,20+,50,emergent,secondary,"ornamental,aromatic,nectar_source,native_habitat",,3 to 4 weeks,,EDEN SEEDS
Silver Wattle,Dealbata,Silver Wattle (Dealbata),Acacia dealbata,Fabaceae,Native to NSW,Fast-growing nitrogen-fixing pioneer reaching 30m. Excellent biomass producer for chop-and-drop mulching. Beautiful yellow flowers in late winter.,30-50,20+,50,emergent,pioneer,"nitrogen_fixer,biomass_producer,nectar_source,native_habitat",,3 to 6 weeks,,EDEN SEEDS
Silverbeet,,Silverbeet,Beta vulgaris var. cicla,Amaranthaceae,Mediterranean,Hardy leafy green producing year-round. Cut outer leaves for continuous harvest. Heat and frost tolerant. Also known as chard.,2,1-3,2,low,secondary,edible_greens,,,28-56,Mr Fothergill's
Sorghum,,Sorghum,Sorghum bicolor,Poaceae,Africa,Tall tropical grass for biomass and grain. Very drought tolerant. Grows 2-4m. Excellent chop-and-drop material. Some varieties for syrup production.,1,0.5,0.5,medium,pioneer,"biomass_producer,green_manure,edible_seed",90-120,5-10 days,,Greenpatch Organic Seeds
Spinach,,Spinach,Beta vulgaris,Amaranthaceae,Europe,,2,1-3,1,low,secondary,edible_greens,50-60,7-14 days,21-35,Various
Spinach-Perpetual,Beet-Perpetual,Spinach (Beet-Perpetual),Beta vulgaris var. cicla,Amaranthaceae,Europe,"Actually a leaf beet, not true spinach. Much easier to grow - heat tolerant and long-standing. Cut-and-come-again harvest. Related to silverbeet.",2,1-3,1,low,secondary,edible_greens,50-60,7-14 days,21-35,Country Value
Spinach,English Mediana,Spinach (English Mediana),Beta vulgaris,Amaranthaceae,Europe,,2,1-3,1,low,secondary,edible_greens,50-60,7-14 days,21-35,Mr Fothergill's
Spinach,Matador,Spinach (Matador),Beta vulgaris,Amaranthaceae,Europe,,2,1-3,1,low,secondary,edible_greens,50-60,7-14 days,21-35,Organic Garden
Spinach-Perennial,Okinawa Spinach,Spinach-Perennial (Okinawa Spinach),Gynura crepioides,Asteraceae,Japan,"a nutritious, low-maintenance perennial leafy green with striking green tops and purple undersides, subtropical-tropical climate; dense groundcover or pot plant. The leaves have a mild, nutty, pine-like flavor, ideal for salads, stir-fries, or tempura",2,1-3,1,low,secondary,edible_greens,50-60,7-14 days,21-35,Minimbah
Spinach-Perpetual,Perpetual,Spinach-Perpetual,Beta vulgaris var. cicla,Amaranthaceae,Europe,"Actually a leaf beet, not true spinach. Much easier to grow - heat tolerant and long-standing. Cut-and-come-again harvest. Related to silverbeet.",2,1-3,1,low,secondary,edible_greens,50-60,7-14 days,21-35,Greenpatch Organic Seeds
Onion-Spring,Lisbon,Spring Onion,Allium fistulosum,Amaryllidaceae,East Asia,Bunching onion with mild flavor. Perennial in mild climates. Also called Welsh onion or scallion. Harvest whole or cut leaves repeatedly.,3-5,3-10,3,low,secondary,"edible_greens,aromatic",60-80,7-14 days,21-35,Various
Onion-Spring,Lisbon,Spring Onion (Lisbon),Allium fistulosum,Amaryllidaceae,East Asia,Bunching onion with mild flavor. Perennial in mild climates. Also called Welsh onion or scallion. Harvest whole or cut leaves repeatedly.,3-5,3-10,3,low,secondary,"edible_greens,aromatic",60-80,7-14 days,21-35,Mr Fothergill's
Squash,Yellow Scallop,Squash (Yellow Scallop),Cucurbita pepo,Cucurbitaceae,Central America,Summer squash variety with scalloped edge. Also called Pattypan. Harvest young for best flavor. Bush habit.,1,0.5,0.5,low,secondary,edible_fruit,50-60,7-10 days,21-35,Mr Fothergill's
Strawberry,,Strawberry,Fragaria × ananassa,Rosaceae,Hybrid (European/American),"Perennial fruiting groundcover producing sweet red berries. Spreads via runners, forming dense mats. Excellent living mulch in syntropic systems, providing ground coverage while producing edible fruit. Prefers well-drained soil with consistent moisture. Multiple harvests per season in subtropical climates.",3-5,1-3,1,low,secondary,"edible_fruit,living_mulch,groundcover",60-90,14-28 days,42-56,Various
Sturt Desert Pea,,Sturt Desert Pea,Swainsona formosa,Fabaceae,Native to Australia (arid regions),Iconic Australian native with striking red and black pea flowers. South Australian floral emblem. Nitrogen-fixing annual/short-lived perennial.,1-2,1-3,1,low,pioneer,"nitrogen_fixer,native_habitat,ornamental",,14-28 days,28-42,Mr Fothergill's
Sugar Cane,,Sugar Cane,Saccharum officinarum,Poaceae,Southeast Asia,Tall perennial grass grown for sugar and biomass. Excellent chop-and-drop material. Propagated from cuttings. Fast growing in subtropical conditions.,5-10,3-10,4,high,pioneer,"biomass_producer,edible_greens",,,,Various
Sunflower,,Sunflower,Helianthus annuus,Asteraceae,North America,Fast-growing summer annual with large flower heads. Edible seeds. Excellent biomass - stalks make good mulch material. Deep taproots break compaction.,1,0.5,0.5,medium,pioneer,"edible_seed,biomass_producer,beneficial_insects,nectar_source",70-100,7-14 days,,Various
Sunflower,Sun King,Sunflower (Sun King),Helianthus annuus,Asteraceae,North America,Fast-growing summer annual with large flower heads. Edible seeds. Excellent biomass - stalks make good mulch material. Deep taproots break compaction.,1,0.5,0.5,medium,pioneer,"edible_seed,biomass_producer,beneficial_insects,nectar_source",70-100,7-14 days,,Country Value
Sunn Hemp,,Sunn Hemp,Crotalaria juncea,Fabaceae,South Asia (India),Fast-growing tropical nitrogen-fixer reaching 2m in 60 days. Excellent green manure suppressing nematodes. Yellow flowers attract bees. Not edible.,1,0.5,0.5,medium,pioneer,"nitrogen_fixer,biomass_producer,green_manure,beneficial_insects",60-90,3-5 days,,Greenpatch Organic Seeds
Surinam Cherry,,Surinam Cherry,Eugenia uniflora,Myrtaceae,South America (Brazil),Attractive shrub to 4m with ribbed red-orange fruits. Tart sweet flavor. Makes excellent hedges. Very hardy once established. Can become weedy.,20-40,10-20,10,medium,secondary,"edible_fruit,windbreak",,,,Daleys Fruit Nursery
Sweet Potato,,Sweet Potato,Ipomoea batatas,Convolvulaceae,Central/South America,Tropical tuber with edible leaves. Excellent living mulch groundcover suppressing weeds. Plant slips in warm soil.,1,0.5,0.5,low,secondary,"edible_root,living_mulch,edible_greens",,,21-42,FFC (farm saved)
Tagasaste - Tree Lucerne,,Tagasaste - Tree Lucerne,Chamaecytisus palmensis,Fabaceae,Canary Islands,Fast-growing nitrogen-fixing tree lucerne reaching 5m. Excellent fodder and biomass for chop-and-drop. Tolerates poor soils and drought once established.,15-25,10-20,20,emergent,pioneer,"nitrogen_fixer,biomass_producer,fodder",,2 to 4 weeks,,EDEN SEEDS
Tallowood (Gum),,Tallowood (Gum),Eucalyptus microcorys,Myrtaceae,Native to NSW,Premium hardwood timber species native to NSW coastal forests. Durable timber resistant to termites. Long-lived climax species.,200-400,20+,50,emergent,climax,"timber,nectar_source,native_habitat",,3 to 4 weeks,,The Seed Vine
Tansy,,Tansy,Tanacetum vulgare,Asteraceae,Europe/Asia,Aromatic perennial herb with yellow button flowers. Strong scent repels insects - plant near fruit trees. CAUTION: Toxic if eaten. Attracts beneficial insects.,5-10,3-10,5,low,secondary,"pest_management,beneficial_insects,companion_plant",,14-21 days,28-42,EDEN SEEDS
Tarragon,Mexican,Tarragon (Mexican),Artemisia dracunculus,Asteraceae,Central Asia,Russian tarragon variety with mild anise flavor. French tarragon has stronger flavor but doesn't set seed. Perennial herb for French cuisine.,3-5,3-10,4,low,secondary,"aromatic,edible_greens",,,,Greenpatch Organic Seeds (bought plant)
Tarragon,Russian,Tarragon (Russian),Artemisia dracunculus,Asteraceae,Central Asia,Russian tarragon variety with mild anise flavor. French tarragon has stronger flavor but doesn't set seed. Perennial herb for French cuisine.,3-5,3-10,4,low,secondary,"aromatic,edible_greens",,,,Mr Fothergill's
Tea Tree Oil (Melaleuca),Alternifolia,Tea Tree Oil (Melaleuca) (Alternifolia),Melaleuca alternifolia,Myrtaceae,Native to NSW/QLD,Australian native source of tea tree oil. Pioneer species tolerating wet areas and poor soils. Narrow aromatic leaves with medicinal properties.,20-30,10-20,15,medium,pioneer,"aromatic,medicinal,native_habitat",,3-4 weeks,,EDEN SEEDS
Thyme,,Thyme,Thymus vulgaris,Lamiaceae,Mediterranean,Low-growing aromatic herb with tiny leaves. Drought tolerant groundcover. Essential culinary herb. Attracts bees.,5-10,3-10,5,low,secondary,"aromatic,medicinal,edible_greens,living_mulch",,,,FFC (farm saved)
Tomato,,Tomato,Solanum lycopersicum,Solanaceae,South America (Andes),Heart-shaped heirloom tomato with meaty flesh. Excellent flavor for fresh eating. Indeterminate growth.,1,0.5,0.5,low,secondary,edible_fruit,60-80,,21-42,Various
Tomato,Moneymaker,Tomato (Moneymaker),Solanum lycopersicum,Solanaceae,South America (Andes),Classic reliable medium-sized tomato. Heavy cropper with good disease resistance. Indeterminate growth.,1,0.5,0.5,low,secondary,edible_fruit,60-80,,21-42,Mr Fothergill's
Tomato,Mortgage Lifter,Tomato (Mortgage Lifter),Solanum lycopersicum,Solanaceae,South America (Andes),"Large pink heirloom beefsteak tomato. Sweet mild flavor, few seeds. Indeterminate growth - needs staking.",1,0.5,0.5,low,secondary,edible_fruit,60-80,,21-42,Mr Fothergill's
Tomato,Oxheart,Tomato (Oxheart),Solanum lycopersicum,Solanaceae,South America (Andes),Heart-shaped heirloom tomato with meaty flesh. Excellent flavor for fresh eating. Indeterminate growth.,1,0.5,0.5,low,secondary,edible_fruit,60-80,,21-42,Mr Fothergill's
Tomato,Rouge de Marmande,Tomato (Rouge de Marmande),Solanum lycopersicum,Solanaceae,South America (Andes),French heirloom ribbed beefsteak tomato. Rich flavor excellent for slicing. Semi-determinate growth.,1,0.5,0.5,low,secondary,edible_fruit,60-80,,21-42,Mr Fothergill's
Tree Fern,,Tree Fern,Cyathea spp.,Cyatheaceae,Native to Australia,Tree fern with trunk-like stem and large spreading fronds. Native to Australian rainforests. Prefers shade and moisture. Excellent understorey species.,50-100,20+,20,medium,climax,"native_habitat,ornamental",,,,Various
Tree Lucerne - Tagasaste,,Tree Lucerne - Tagasaste,Chamaecytisus palmensis,Fabaceae,Canary Islands,Fast-growing nitrogen-fixing tree lucerne reaching 5m. Excellent fodder and biomass for chop-and-drop. Tolerates poor soils and drought once established.,15-25,10-20,20,emergent,pioneer,"nitrogen_fixer,biomass_producer,fodder",,2 to 4 weeks,,EDEN SEEDS
Turmeric,,Turmeric,Curcuma longa,Zingiberaceae,South Asia (India),Tropical rhizome with vibrant orange flesh. Anti-inflammatory medicinal uses. Needs warmth and moisture. Harvest when leaves die down.,2-3,1-3,2,low,secondary,"edible_root,aromatic,medicinal",,,28-56,Various
Turnip,Purple top,Turnip (Purple top),Brassica rapa,Brassicaceae,Europe/Western Asia,"Classic heirloom turnip with smooth globe roots, white below soil and purple above. Fast-growing cool season crop. Both roots and leafy greens are edible. Sweet mild flavour, especially after frost. Good for crop rotation and soil improvement.",1,0.5,0.5,low,secondary,"edible_root,edible_greens,green_manure",50-60,8-12 days,,Greenpatch Organic Seeds
Vacoa (Pandanus),,Vacoa (Pandanus),Pandanus spp.,Pandanaceae,Tropical Pacific/Indian Ocean,"Screw Pine. Tropical tree with aerial prop roots and spirally arranged leaves. Drought tolerant once established. Leaves used for weaving, fruit edible in some species.",50-100,10-20,10,high,secondary,"edible_fruit,ornamental",,,,Various
Vetch,Wooly Pod,Vetch,Vicia sativa,Fabaceae,Mediterranean,Climbing nitrogen-fixing legume for winter cover crop. Purple flowers. Good with oats in mix. Fixes substantial nitrogen. Hardy to frost.,1,0.5,0.5,low,pioneer,"nitrogen_fixer,green_manure,nectar_source",,7-14 days,,Greenpatch Organic Seeds
Walnut,Placentia,Walnut (Placentia),Juglans regia 'Placentia',Juglandaceae,Europe / California,English/Persian walnut variety. Self-fruitful. Cool climate preferred. Late dormancy break (April-May). Deciduous. Long-lived nut tree producing large nuts.,60-80,5-10,,high,climax,"edible_nut,timber,beneficial_insects",,,,Daleys Fruit Tree Nursery
Watercress,,Watercress,Nasturtium officinale,Brassicaceae,Europe/Asia,Peppery aquatic salad green growing in shallow water or moist soil. Extremely nutritious. Perennial in suitable conditions.,2-3,1-3,1,low,secondary,"edible_greens,medicinal",30-50,10-14 days,,Greenpatch Organic Seeds
Watermelon,Sugar baby,Watermelon (Sugar baby),Citrullus lanatus,Cucurbitaceae,Africa,Summer fruiting vine needing heat and space. Fruits ripen when tendril near stem dries and underside turns yellow. Sugar Baby is compact variety.,1,0.5,0.5,low,secondary,edible_fruit,80-95,7-10 days,21-35,Mr Fothergill's
Wattle,,Wattle,Acacia spp.,Fabaceae,Native to Australia,Native Australian wattle. Species to be verified. Nitrogen-fixing pioneer excellent for biomass and soil building.,15-50,10-20,10,high,pioneer,"nitrogen_fixer,biomass_producer,native_habitat,nectar_source",,14-42 days,,Various
Wattle (Acacia),,Wattle (Acacia),Acacia spp.,Fabaceae,Native to Australia,Native Australian wattle. Species to be verified. Nitrogen-fixing pioneer excellent for biomass and soil building.,15-50,10-20,10,high,pioneer,"nitrogen_fixer,biomass_producer,native_habitat,nectar_source",,14-42 days,,Various
Wattle - Cootamundra,Baileyana,Wattle - Cootamundra (Baileyana),Acacia baileyana,Fabaceae,Native to NSW (Cootamundra region),Beautiful native wattle with silver-blue feathery foliage and masses of golden flowers. Fast nitrogen-fixer for medium layer. Can be short-lived but self-seeds readily.,15-30,10-20,20,high,pioneer,"nitrogen_fixer,biomass_producer,ornamental,native_habitat",,3 to 6 weeks,,EDEN SEEDS
